City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
210,qarazhal,48.0078,70.7903,20.32,35,1,4.54,KZ,1686597312
211,volnovakha,47.601,37.4967,14.16,94,22,3.07,UA,1686597711
212,natal,-5.795,-35.2094,27.36,83,75,5.66,BR,1686597711
213,nichinan,31.6,131.3667,21.82,95,100,1.15,JP,1686597712
214,thunder bay,48.4001,-89.3168,21.95,37,75,4.63,CA,1686597601
215,la passe,45.5549,-0.8967,19.46,89,89,5.28,FR,1686597712
216,thompson,55.7435,-97.8558,13.09,71,100,4.12,CA,1686597712
217,revda,56.801,59.9303,4.5,70,4,1.5,RU,1686597291
218,tura,25.5198,90.2201,23.74,92,4,1.8,IN,1686597446
219,yarmouth,41.7057,-70.2286,26.26,75,0,4.63,US,1686597713
220,nadvoitsy,63.8667,34.3167,15.89,48,100,3.92,RU,1686597714
221,pak phanang,8.3511,100.202,27.01,80,100,2.96,TH,1686597714
222,guerrero negro,27.9769,-114.0611,20.54,57,0,7.96,MX,1686597714
223,remire-montjoly,4.9167,-52.2667,29.02,74,75,5.14,GF,1686597714
224,padre bernardo,-15.35,-48.5,28.88,35,80,2.67,BR,1686597715
225,ripley,53.0333,-1.4,19.78,90,100,4.88,GB,1686597715
226,udachny,66.4167,112.4,6.92,48,47,3.11,RU,1686597715
227,ulsteinvik,62.3432,5.8487,16.5,62,100,3.13,NO,1686597715
228,santiago de cao,-7.9589,-79.2392,24.07,73,0,6.69,PE,1686597715
229,kodinsk,58.6881,99.1844,10.02,59,100,1.34,RU,1686597716
230,al khaburah,23.9886,57.0984,33.86,46,81,1.89,OM,1686597716
231,arraial do cabo,-22.9661,-42.0278,23.98,88,0,4.12,BR,1686597716
232,cartagena del chaira,1.3349,-74.8429,30.15,65,78,1.7,CO,1686597716
233,plettenberg bay,-34.0527,23.3716,13.47,71,97,7.49,ZA,1686597717
234,sierre,46.2919,7.5356,25.71,44,100,2.06,CH,1686597717
235,asha,54.9973,57.2722,11.77,63,100,1.79,RU,1686597717
236,salaverry,-8.2333,-78.9667,23.21,76,0,6.44,PE,1686597717
237,weno,7.4515,151.8468,27.97,83,75,5.14,FM,1686597717
238,san antonio de pale,-1.4014,5.6325,24.75,88,88,2.97,GQ,1686597718
239,andkhoy,36.9529,65.1238,30.56,16,38,4.15,AF,1686597718
240,danja,11.3764,7.5625,24.86,73,67,3.57,NG,1686597718
241,vernon,50.2581,-119.2691,30.52,32,9,1.54,CA,1686597556
242,grabouw,-34.1515,19.0151,13.03,87,100,5.52,ZA,1686597718
243,woodbridge,40.5576,-74.2846,29.54,68,100,6.17,US,1686597719
244,jayapura,-2.5333,140.7,24.66,89,100,1.87,ID,1686597719
245,cabugao,17.7931,120.4578,24.92,96,100,4.26,PH,1686597719
246,essaouira,31.5125,-9.77,23.72,78,0,5.66,MA,1686597207
247,pitimbu,-7.4706,-34.8086,26.33,75,2,5.11,BR,1686597719
248,gargalianoi,37.0667,21.6333,20.75,86,6,3.77,GR,1686597720
249,salalah,17.0151,54.0924,30.05,84,20,2.06,OM,1686597720
250,ebersbach,51.0167,14.5833,17.75,68,4,2.38,DE,1686597720
251,pervomayskoye,43.919,46.7102,22.76,43,96,2.11,RU,1686597720
252,colares,38.7992,-9.4469,20.42,84,75,6.71,PT,1686597233
253,lihue,21.9789,-159.3672,26.58,83,100,5.14,US,1686597721
254,sur,22.5667,59.5289,31.7,55,100,2.99,OM,1686597250
255,prince rupert,54.3161,-130.3201,13.05,89,100,5.14,CA,1686597721
256,mahajanga,-15.7167,46.3167,24.01,88,20,2.57,MG,1686597722
257,hailey,43.5196,-114.3153,22.16,62,0,3.58,US,1686597722
258,tolanaro,-25.0319,46.9987,23.04,88,20,6.17,MG,1686597722
259,kone,-21.0595,164.8658,18.67,80,28,2.0,NC,1686597722
260,hirara,24.8,125.2833,26.15,100,75,2.57,JP,1686597723
261,akureyri,65.6835,-18.0878,19.0,36,100,1.3,IS,1686596979
262,malvan,16.0667,73.4667,28.58,80,26,6.42,IN,1686597290
263,gadzhiyevo,69.2551,33.3362,12.69,60,100,2.02,RU,1686597724
264,nikolayevsk-on-amure,53.1406,140.73,8.95,97,100,0.8,RU,1686597724
265,teknaf,20.8624,92.3058,26.58,89,100,4.27,BD,1686597724
266,vallegrande,-18.4897,-64.1069,8.92,91,100,1.52,BO,1686597724
267,bubaque,11.2833,-15.8333,27.65,81,83,7.05,GW,1686597498
268,ada,43.4166,-116.1262,25.34,51,0,2.57,US,1686597725
269,charters towers,-20.1,146.2667,16.57,96,24,3.64,AU,1686597725
270,tazovsky,67.4667,78.7,1.09,99,100,7.41,RU,1686597726
271,mana,5.6592,-53.7767,27.91,83,46,4.11,GF,1686597199
272,xuddur,4.1213,43.8894,25.27,50,32,7.15,SO,1686597726
273,minamata,32.2167,130.4,21.23,94,100,1.42,JP,1686597727
274,kingston,17.997,-76.7936,33.47,61,20,10.8,JM,1686597626
275,bukene,-4.2333,32.8833,20.49,45,11,1.27,TZ,1686597727
276,happy valley-goose bay,53.3168,-60.3315,20.17,42,75,3.09,CA,1686597728
277,emerald,-23.5333,148.1667,15.25,91,13,2.44,AU,1686597077
278,stephenville,32.2207,-98.2023,24.07,73,100,5.66,US,1686597728
279,lib,8.3122,167.3766,28.45,79,100,8.8,MH,1686597728
280,pisco,-13.7,-76.2167,24.03,57,0,12.35,PE,1686597729
281,inawashiro,37.5667,140.1167,16.53,99,100,1.22,JP,1686597729
282,valparaiso,-33.0393,-71.6273,14.44,63,0,4.63,CL,1686597724
283,qaqortoq,60.7167,-46.0333,9.09,58,100,2.69,GL,1686597729
284,mohr,54.3528,9.7167,22.97,44,0,6.17,DE,1686597730
285,acarau,-2.8856,-40.12,28.23,76,1,7.31,BR,1686597730
286,kenai,60.5544,-151.2583,10.08,65,40,4.12,US,1686597652
287,lompoc,34.6391,-120.4579,20.38,79,100,3.6,US,1686597612
288,farafangana,-22.8167,47.8333,20.8,90,7,3.03,MG,1686597731
289,kill devil hills,36.0307,-75.676,25.0,87,100,11.83,US,1686597085
290,trairi,-3.2778,-39.2689,28.4,71,12,5.49,BR,1686597701
291,shevchenko,48.5,35.0,13.55,87,98,5.47,UA,1686597732
292,yaren,-0.5472,166.916,28.2,77,55,3.24,NR,1686597732
293,ghardaia,32.4909,3.6735,35.64,12,0,6.69,DZ,1686597732
294,zhuanghe,39.7008,122.9911,16.81,83,94,1.44,CN,1686597733
295,wedi,-7.7431,110.5794,23.11,95,100,1.71,ID,1686597733
296,cooper's town,26.8667,-77.5167,27.79,76,54,7.92,BS,1686597733
297,okhotsk,59.3833,143.3,7.19,92,100,3.36,RU,1686597272
298,aras-asan,8.8908,126.3033,26.01,88,96,1.6,PH,1686597734
299,chonchi,-42.6128,-73.8092,9.51,74,18,1.56,CL,1686597734
300,kodiak,57.79,-152.4072,9.73,57,75,4.12,US,1686597734
301,soio,-6.1349,12.3689,23.39,88,100,3.67,AO,1686597735
302,sao joao da barra,-21.6403,-41.0511,28.05,76,0,5.54,BR,1686597735
303,tarauaca,-8.1614,-70.7656,26.33,87,93,0.82,BR,1686597735
304,narvik,68.4384,17.4272,9.66,78,97,4.63,NO,1686597736
305,chinchilla,-26.75,150.6333,11.94,91,0,3.92,AU,1686597736
306,businga,3.3333,20.8833,22.36,97,44,0.7,CD,1686597736
307,kirakira,-10.4544,161.9205,26.21,86,19,2.86,SB,1686597736
308,borogontsy,62.6683,131.1683,4.21,68,100,3.22,RU,1686597737
309,urangan,-25.3,152.9,17.24,88,5,3.45,AU,1686597737
310,turochak,52.2576,87.1224,10.31,96,99,1.39,RU,1686597737
311,amqui,48.4638,-67.4313,25.28,45,0,2.54,CA,1686597737
312,newman,37.3138,-121.0208,25.59,32,30,0.98,US,1686597244
313,mount isa,-20.7333,139.5,9.87,71,40,1.54,AU,1686597738
314,progreso,21.2833,-89.6667,37.06,62,0,5.82,MX,1686597738
315,malango,-2.9627,119.9001,18.98,97,74,0.75,ID,1686597308
316,sitka,57.0531,-135.33,11.94,76,75,4.12,US,1686597739
317,bandarbeyla,9.4942,50.8122,26.04,81,100,14.63,SO,1686597739
318,chamical,-30.36,-66.314,14.07,25,100,1.82,AR,1686597740
319,salekhard,66.53,66.6019,4.31,60,15,2.83,RU,1686597740
320,port alfred,-33.5906,26.891,13.99,76,100,3.13,ZA,1686597740
321,changji,44.0167,87.3167,23.44,56,0,1.0,CN,1686597740
322,mathba,22.2855,89.9629,28.9,85,100,3.45,BD,1686597740
323,vuktyl,63.8567,57.3094,6.79,63,100,2.57,RU,1686597741
324,khanty-mansiysk,61.0042,69.0019,9.06,61,0,1.0,RU,1686597741
325,launceston,-41.45,147.1667,7.86,96,75,2.57,AU,1686597741
326,ghormach,35.7306,63.7826,27.7,18,0,1.69,AF,1686597741
327,krutinka,56.0055,71.5113,9.06,70,100,3.24,RU,1686597742
328,nuuk,64.1835,-51.7216,2.34,93,75,11.18,GL,1686597742
329,ponta delgada,37.7333,-25.6667,19.4,94,75,8.75,PT,1686597743
330,terrace,54.5163,-128.6035,21.23,45,75,3.6,CA,1686597743
331,guatire,10.4762,-66.5427,29.0,87,66,1.64,VE,1686597743
332,lorengau,-2.0226,147.2712,27.58,82,24,3.99,PG,1686597743
333,trancas,-26.2314,-65.2803,12.26,24,97,2.93,AR,1686597744
334,east london,-33.0153,27.9116,15.64,67,100,8.36,ZA,1686597744
335,caleta olivia,-46.4393,-67.5281,9.89,38,17,5.31,AR,1686597744
336,thulamahashi,-24.7246,31.1994,21.28,31,97,3.55,ZA,1686597744
337,east florence,34.8095,-87.6495,24.95,65,100,4.63,US,1686597745
338,maamba,-17.3667,27.15,20.29,35,15,1.68,ZM,1686597745
339,east ballina,-28.8667,153.5833,12.67,89,8,2.27,AU,1686597745
340,klyuchi,52.2667,79.1667,16.6,83,100,5.05,RU,1686597746
341,sinabang,2.4803,96.3801,26.71,80,56,0.27,ID,1686597746
342,rudbar,30.15,62.6,33.01,13,0,4.13,AF,1686597746
343,poyarkovo,49.6,128.6833,14.83,89,49,2.49,RU,1686597746
344,kimbe,-5.5502,150.1429,24.05,93,20,1.73,PG,1686597747
345,crane,31.3974,-102.3501,36.4,11,0,8.64,US,1686597747
346,abu tij,27.0441,31.319,33.84,22,0,2.4,EG,1686597747
347,wewak,-3.5534,143.6268,26.32,88,100,3.56,PG,1686597747
348,fort mcmurray,56.7268,-111.381,21.77,40,40,3.6,CA,1686597748
349,touros,-5.1989,-35.4608,27.62,74,1,6.16,BR,1686597294
350,dudinka,69.4058,86.1778,7.57,78,96,3.94,RU,1686597748
351,murzuq,25.9155,13.9184,32.89,19,0,4.97,LY,1686597296
352,chui,-33.6971,-53.4616,12.77,50,34,5.57,UY,1686597749
353,san pedro,14.35,121.0167,25.75,94,75,0.51,PH,1686597749
354,bereznik,62.8551,42.7072,16.61,58,96,3.44,RU,1686597749
355,xilin hot,43.9667,116.0333,13.2,68,11,1.64,CN,1686597749
356,ghanzi,-21.5667,21.7833,12.97,20,0,5.03,BW,1686597750
357,danilovgrad,42.5538,19.1461,21.87,87,100,3.29,ME,1686597750
358,flin flon,54.7682,-101.865,26.91,36,100,5.66,CA,1686597272
359,north bend,43.4065,-124.2243,20.14,88,100,6.69,US,1686597750
360,broken hill,-31.95,141.4333,9.45,68,71,4.75,AU,1686597473
361,konstantinovka,49.6167,127.9833,15.48,91,24,2.88,RU,1686597751
362,merritt,50.1123,-120.7942,28.51,28,19,0.89,CA,1686597751
363,shalqar,47.8333,59.6,27.3,14,99,4.5,KZ,1686597752
364,camiri,-20.05,-63.5167,11.5,42,100,3.88,BO,1686597752
365,nurota,40.5614,65.6886,26.65,22,0,1.64,UZ,1686597752
366,portland,45.5234,-122.6762,29.15,55,20,2.57,US,1686597752
